ТН;Должность;Ставка;Оклад (основной);Оклад (совместительство);Почасовая оплата;Итого
303460;Ассистент;1,0;7637,14;;;6803,24
1531;Ассистент;0,5;3724,0;4009,5;;9286,58
302312;Старший преподаватель;1,0;5392,0;3018,05;;10274,47
1437;Доцент;1,5;9830,0;4915,0;;21557,18
100364;Доцент;1,0;8673,53;;6605,95;18628,02
302362;Ассистент;0,35;;2806,65;;2413,72
303448;Ассистент;1,5;8019,0;4009,5;;10344,5
104071;Профессор;1,15;10461,0;1569,15;;19676,52
165621;Ассистент;0,3;;2405,7;;2302,25
1507;Ассистент;0,5;5392,0;4009,5;;12829,44
74332;Доцент;1,0;8623,0;;;10752,88
303556;Доцент;0,4;;5167,4;;8002,23
302772;Ассистент;0,5;4009,5;;;3448,16
303450;Ассистент;1,45;8019,0;3608,55;;9999,69
2832;Старший преподаватель;0,15;;1293,45;;1612,93
2832;Старший преподаватель;1,35;8623,0;3018,05;;14516,4
303462;Ассистент;1,0;8019,0;;;6896,34
302455;Доцент;0,3;;2405,7;;2406,91
1660;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
73703;Доцент;1,5;8019,0;4009,5;2439,12;16062,73
163832;Преподаватель;0,9;5155,07;;;6407,4
302469;Ассистент;0,5;4009,5;;;3448,16
1289;Профессор;1,0;9763,24;4615,15;20758,14;42974,95
178017;Старший преподаватель;1,0;5392,0;4311,5;;11961,78
4544;Доцент;1,0;8623,0;;;10011,3
4420;Доцент;0,5;;4009,5;;4709,16
101267;Доцент;1,3;8019,0;2405,7;;11206,56
302612;Старший преподаватель;1,5;8623,0;4311,5;8761,5;21995,66
302144;Преподаватель;1,15;8019,0;1202,85;;7930,79
2096;Профессор;1,0;9830,0;;6324,72;20656,1
167752;Старший преподаватель;1,0;8623,0;;;8157,36
302951;Профессор;0,5;;5230,5;;7189,85
302481;Доцент;0,6;4163,29;;;8055,14
3027;Доцент;1,0;6360,59;3180,29;;20784,6
303416;Ассистент;0,25;2004,75;;;1918,55
302712;Доцент;1,5;8019,0;4009,5;10976,04;25473,39
303463;Ассистент;0,25;2004,75;;;1744,13
302399;Старший преподаватель;1,5;8623,0;4311,5;1298,0;16530,51
1006;Преподаватель;0,05;;400,95;;448,27
9489;Старший преподаватель;1,5;8623,0;4311,5;5516,5;18463,38
303210;Ассистент;1,0;8019,0;;;6976,53
303495;Доцент;0,5;;4915,0;;7185,74
302326;Старший преподаватель;0,7;6036,1;;;5191,05
1578;Доцент;1,4;9830,0;3932,0;;20120,05
1292;Доцент;1,5;9830,0;4915,0;;21557,18
303099;Старший преподаватель;1,0;8212,0;;;7858,88
1129;Доцент;1,3;9830,0;2949,0;;22047,05
302943;Доцент;1,5;8019,0;4009,5;6707,58;17664,71
301985;Ассистент;0,25;3969,0;2004,75;;6673,43
5703;Доцент;1,0;9830,0;;;14371,46
74235;Доцент;0,5;;4915,0;;6414,07
3451;Доцент;0,3;;2586,9;;3003,4
3451;Доцент;0,95;8191,85;;6301,06;17043,15
104437;Доцент;1,5;9830,0;4915,0;;20289,12
165731;Доцент;1,5;9830,0;4915,0;2459,45;22404,25
5727;Старший преподаватель;0,5;;4311,5;;4876,31
303037;Ассистент;0,5;4009,5;;;3477,29
103810;Доцент;1,5;8623,0;4311,5;6097,8;20261,07
302937;Доцент;0,25;2457,5;;;2641,82
301610;Профессор;0,25;;2004,75;;2790,62
3014;Профессор;0,5;;4307,47;;6964,32
3014;Профессор;1,0;8614,94;;;13928,64
167182;Доцент;0,4;;3932,0;;5072,28
167182;Доцент;1,0;9830,0;;;12680,7
301811;Старший преподаватель;1,4;8623,0;3449,2;;11420,3
1511;Доцент;0,5;3469,41;;;8087,69
163124;Ассистент;0,5;4123,29;3066,09;3894,0;14652,15
301705;Доцент;1,5;9830,0;4915,0;;15850,88
1256;Доцент;1,5;9830,0;4915,0;4878,24;25752,47
164665;Доцент;0,5;;4009,5;;4310,22
101662;Преподаватель;1,25;8019,0;2004,75;;10344,5
1815;Старший преподаватель;1,5;7608,53;3804,26;;13719,04
3739;Старший преподаватель;0,1;;760,85;;913,84
3739;Старший преподаватель;1,35;7608,53;2662,99;3048,9;14994,4
2381;Доцент;1,5;9830,0;4915,0;;21557,18
303215;Ассистент;1,5;8019,0;4009,5;5516,5;15264,15
2257;Доцент;1,0;9830,0;;;17330,3
302649;Доцент;1,5;5660,47;2830,24;10163,0;21293,68
160974;Ассистент;0,15;8019,0;1202,85;4218,5;12351,79
301050;Доцент;1,5;9830,0;4915,0;2845,64;24765,28
164775;Доцент;1,0;8623,0;;;10011,3
5077;Старший преподаватель;0,5;;4311,5;;4126,11
74234;Профессор;0,5;;5230,5;;8006,86
74234;Профессор;1,0;10461,0;;;16013,7
303192;Старший преподаватель;1,0;8623,0;;;8252,21
302684;Преподаватель;0,5;4009,5;;;4137,81
101648;Преподаватель;1,5;8019,0;4009,5;;12413,41
302339;Старший преподаватель;0,45;;3880,35;;3670,82
302339;Старший преподаватель;0,95;8191,85;;;7749,49
9085;Преподаватель;1,0;8019,0;;;8965,24
302379;Доцент;1,5;9830,0;4915,0;;21807,85
303539;Ассистент;0,5;4009,5;;;3488,26
186;Старший преподаватель;1,5;8623,0;4311,5;6165,5;19763,1
301751;Доцент;1,5;8623,0;4311,5;6097,8;20261,07
302417;Старший преподаватель;0,3;;2586,9;;2475,66
302727;Ассистент;0,5;3969,0;4009,5;;8568,18
161334;Старший преподаватель;0,3;;2586,9;;2475,66
303509;Старший преподаватель;1,15;8623,0;2003,58;;13405,44
74342;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
1662;Профессор;1,5;10461,0;5230,5;;25370,03
74758;Доцент;1,5;9830,0;4915,0;4878,24;25752,47
160830;Доцент;1,0;9830,0;4915,0;5691,28;25183,62
2034;Доцент;0,5;4915,0;;;7185,72
1270;Доцент;1,2;9830,0;1966,0;;17245,75
70672;Доцент;1,1;9830,0;983,0;;15808,61
302475;Доцент;0,6;5173,8;;;5561,84
72292;Старший преподаватель;1,5;8623,0;4311,5;;13348,41
101104;Старший преподаватель;0,25;;2155,75;;2344,38
2395;Профессор;1,0;10461,0;;;16913,34
303081;Ассистент;1,5;8019,0;4009,5;4218,5;13972,42
1933;Доцент;0,3;;2949,0;;4311,44
1933;Доцент;0,8;7864,0;;;11497,17
302843;Профессор;0,25;;2457,5;;3634,65
302947;Старший преподаватель;0,3;;2586,9;;2447,2
302947;Старший преподаватель;1,2;8623,0;1724,6;;9788,84
175660;Старший преподаватель;1,0;7101,29;1634,29;;10474,49
1467;Профессор;0,25;;2457,5;;3592,87
1467;Профессор;0,7;6881,0;;;10060,03
303009;Ассистент;1,0;8019,0;;;6976,53
596;Ассистент;0,2;700,41;283,02;;4408,36
100829;Доцент;1,3;8623,0;2586,9;;13756,29
2136;Доцент;1,5;8623,0;4311,5;;19021,48
302960;Старший преподаватель;1,5;8623,0;4311,5;2433,75;16553,79
302401;Доцент;1,5;8623,0;4311,5;4065,2;18513,03
302425;Старший преподаватель;0,25;;2155,75;;2063,06
302930;Старший преподаватель;1,3;8623,0;2586,9;;12532,67
1998;Преподаватель;1,05;8019,0;400,95;;9413,51
2774;Доцент;1,0;8623,0;;;10752,89
5581;Старший преподаватель;0,65;5604,95;;;5302,29
1172;Доцент;1,5;9830,0;4915,0;;21557,18
5752;Профессор;0,25;;2153,74;;4151,24
302948;Старший преподаватель;0,1;;862,3;;975,26
300338;Преподаватель;1,5;8019,0;4009,5;;12413,41
2100;Доцент;0,5;4915,0;;2642,38;9458,18
1404;Доцент;0,1;;983,0;;1453,86
1404;Доцент;1,4;9830,0;3932,0;7114,1;26543,26
302972;Старший преподаватель;0,15;;1293,45;;1125,3
1469;Доцент;0,5;;2891,18;;6341,94
302721;Доцент;1,5;9830,0;4915,0;;15850,88
163548;Старший преподаватель;1,1;8623,0;862,3;;9788,83
302529;Доцент;1,5;9830,0;4915,0;7296,0;26563,68
303182;Доцент;0,2;;1966,0;;2907,71
303182;Доцент;0,3;;2949,0;;4361,57
302495;Ассистент;1,0;4216,0;2004,75;;7525,3
1128;Старший преподаватель;1,5;8623,0;4311,5;1947,0;15022,83
2403;Доцент;1,0;9830,0;4915,0;4126,18;28064,54
1849;Доцент;0,6;5898,0;;;8622,87
9352;Профессор;1,5;10461,0;5230,5;;25370,03
1175;Ассистент;0,25;4983,0;2004,75;;9610,18
303285;Старший преподаватель;0,5;4311,5;;;3707,88
1700;Профессор;0,4;;3692,12;;6420,59
1700;Профессор;1,0;9230,29;;;16200,64
303478;Ассистент;1,0;8019,0;;;7585,97
8275;Старший преподаватель;1,0;8623,0;;;8898,93
302660;Преподаватель;0,5;4009,5;;;3792,99
300578;Старший преподаватель;1,5;8623,0;4311,5;4218,5;18088,68
4095;Доцент;1,5;9830,0;4915,0;6626,28;27255,79
302917;Ассистент;0,25;;2004,75;;1744,13
302917;Ассистент;0,25;2004,75;;9183,35;9733,65
2720;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
302759;Старший преподаватель;1,0;8623,0;;3048,9;10779,41
598;Профессор;1,5;10461,0;5230,5;;25370,03
70755;Старший преподаватель;1,5;8623,0;4311,5;2433,75;16553,79
9964;Старший преподаватель;0,4;;3449,2;;3901,05
2012;Доцент;1,0;9830,0;4915,0;;21557,2
302678;Преподаватель;1,05;8019,0;400,95;;7965,28
2499;Доцент;0,5;4915,0;;;7185,72
302867;Старший преподаватель;0,3;;2586,9;;2250,6
2707;Ассистент;0,3;;2405,7;;2689,58
2707;Старший преподаватель;1,0;8623,0;;5192,0;14105,63
302637;Ассистент;0,3;3285,88;2122,68;;6822,02
2280;Ассистент;1,0;8019,0;;;9654,87
103332;Профессор;0,5;;4915,0;6996,14;13202,41
1521;Профессор;1,0;11065,0;5230,5;6324,72;33995,27
161611;Доцент;1,5;8019,0;4009,5;9024,75;20691,93
302857;Доцент;0,15;;1474,5;;2180,79
302351;Старший преподаватель;1,0;8623,0;;;7415,78
4290;Доцент;1,5;9830,0;4915,0;;26544,93
525;Старший преподаватель;1,35;8623,0;3018,05;;13014,7
1201;Доцент;1,35;9830,0;3440,5;;19401,48
2976;Ассистент;0,25;5392,0;2004,75;;9779,6
5230;Доцент;1,0;9830,0;;;14371,46
1267;Старший преподаватель;1,0;5392,0;4311,5;;13167,07
1397;Доцент;1,5;9830,0;4915,0;;21557,18
1523;Доцент;0,75;7372,5;;;10778,61
5192;Доцент;1,5;9830,0;4915,0;;21557,18
2434;Ассистент;0,25;5392,0;2004,75;;9779,6
303445;Ассистент;1,3;8019,0;2405,7;;8965,24
2263;Доцент;1,0;9830,0;;;14371,46
303252;Старший преподаватель;1,05;7329,55;1724,6;;8565,23
5504;Доцент;0,25;;2457,5;;2993,24
1176;Доцент;1,3;9830,0;4226,9;;20715,46
302940;Доцент;0,4;;3932,0;;5473,34
1748;Старший преподаватель;1,4;9830,0;4363,15;;20750,39
2169;Доцент;0,75;7372,5;;;11349,24
9931;Доцент;0,25;;2457,5;;3634,65
302956;Старший преподаватель;0,5;;4311,5;7788,0;11651,87
8216;Доцент;1,25;8019,0;2004,75;;11637,57
104032;Доцент;1,5;9830,0;4915,0;3252,16;25622,12
1134;Доцент;1,3;9830,0;2949,0;;25445,94
303022;Ассистент;1,0;8019,0;;;6896,34
302832;Доцент;0,5;;4915,0;4065,2;8454,18
103071;Старший преподаватель;0,25;;2155,75;;2039,35
103071;Старший преподаватель;1,2;8623,0;2155,75;3048,9;12818,75
303437;Ассистент;1,5;8019,0;4009,5;;10344,5
303506;Старший преподаватель;0,4;;3449,2;;4051,09
70272;Доцент;1,5;9830,0;4915,0;5284,76;26102,09
303204;Доцент;1,5;6594,06;3297,03;;15465,6
2293;Доцент;1,0;9830,0;;;15216,84
4540;Преподаватель;0,25;5803,0;2004,75;;13547,23
104824;Старший преподаватель;1,0;5392,0;2155,75;;10849,64
303457;Старший преподаватель;0,25;;2155,75;;1875,5
302485;Доцент;1,5;9830,0;4915,0;6504,32;25882,84
3209;Профессор;0,25;;2615,25;;4049,97
303484;Ассистент;0,5;4009,5;;;3488,26
1449;Доцент;1,35;9830,0;3440,5;;19401,48
2129;Доцент;1,1;8623,0;862,3;;10604,56
303438;Ассистент;1,0;8019,0;;3569,5;9966,1
300882;Старший преподаватель;0,4;;3449,2;;3901,05
1939;Старший преподаватель;0,45;3880,35;;;4338,24
303105;Старший преподаватель;1,0;8212,0;;;9287,77
303447;Ассистент;1,5;8019,0;4009,5;;10344,5
171786;Ассистент;0,25;3969,0;2004,75;;6673,43
303480;Ассистент;0,5;;4009,5;;3488,27
303480;Ассистент;1,0;8019,0;;4218,5;10646,62
302045;Старший преподаватель;1,0;8212,38;;;9591,09
1138;Доцент;1,1;9830,0;983,0;;16653,99
302865;Старший преподаватель;1,0;8623,0;;;9002,41
303469;Ассистент;1,0;8019,0;;;6976,53
302695;Старший преподаватель;1,0;7101,29;;;7680,68
162362;Ассистент;1,15;8019,0;1202,85;;9413,5
5137;Преподаватель;0,25;;2004,75;;2267,38
302704;Доцент;0,25;2004,75;;;2180,17
302920;Ассистент;0,2;1603,8;;;1395,31
2014;Старший преподаватель;1,0;7101,29;;;9048,18
10178;Профессор;0,25;;2615,25;;4277,5
173648;Ассистент;0,25;3969,0;2004,75;;9143,6
300557;Преподаватель;0,5;;4009,5;;4185,92
300557;Преподаватель;1,0;8019,0;;3252,16;11201,21
103441;Старший преподаватель;1,0;8623,0;;;8898,93
302710;Доцент;1,5;8623,0;4311,5;;15016,95
301766;Профессор;0,5;;5230,5;;8099,96
160001;Доцент;1,5;5149,05;2574,52;4878,24;23364,96
2166;Доцент;1,5;9830,0;4915,0;;18387,02
1602;Профессор;0,15;1569,15;;;2537,01
73648;Доцент;0,3;;2949,0;;4311,44
73648;Доцент;1,2;9830,0;1966,0;4471,72;21091,43
303277;Ассистент;0,25;2806,65;;;2413,72
303497;Ассистент;0,5;;4009,5;;4534,74
1341;Доцент;0,25;;2457,5;;3634,65
300573;Доцент;1,5;7517,06;3758,53;6097,8;28861,6
5721;Старший преподаватель;1,0;9830,0;862,3;7296,0;21906,71
173463;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
1406;Профессор;0,2;;1722,99;;3120,39
1406;Профессор;1,0;9112,35;2584,48;6468,35;27028,29
3740;Доцент;1,5;9830,0;4915,0;;20289,12
1410;Доцент;0,6;5898,0;;;8723,14
5319;Профессор;0,5;4915,0;;;7608,42
2298;Доцент;0,85;8355,5;;;12215,76
486;Старший преподаватель;1,35;8623,0;3018,05;;12755,14
302938;Преподаватель;1,0;8019,0;;;8275,61
2568;Профессор;0,5;;4009,5;;5861,9
2093;Профессор;0,5;;5230,5;;8456,68
303458;Старший преподаватель;1,0;8623,0;;;8157,36
302690;Старший преподаватель;1,5;8623,0;4311,5;5192,0;16701,16
302512;Ассистент;0,2;;1603,8;;1517,2
302512;Ассистент;0,3;;2405,7;;2275,79
302512;Ассистент;0,6;4811,4;;;4551,58
1586;Доцент;1,25;9830,0;2457,5;;17964,33
303235;Ассистент;1,5;8019,0;4009,5;;10344,5
303395;Доцент;0,1;;936,2;;1303,19
303395;Доцент;0,4;;3744,8;;5212,76
302962;Старший преподаватель;1,5;8623,0;4311,5;973,5;11960,88
1053;Доцент;0,15;;1474,5;;2180,79
1053;Доцент;1,35;9830,0;3440,5;8740,18;27231,04
172523;Доцент;0,2;;1724,6;;1853,94
172523;Доцент;1,3;8623,0;2586,9;11382,56;21839,65
2773;Старший преподаватель;0,5;;4311,5;;4820,26
302395;Старший преподаватель;0,75;4927,43;;;4999,95
163960;Доцент;1,25;8623,0;2155,75;;11587,16
300308;Старший преподаватель;1,0;8623,0;862,3;;11828,17
303508;Профессор;0,5;;5230,5;;8190,97
173217;Ассистент;0,5;5392,0;4009,5;;11676,09
303464;Преподаватель;1,5;8019,0;4009,5;1719,85;14926,93
303309;Старший преподаватель;1,1;8623,0;862,3;;11012,44
302931;Старший преподаватель;0,5;;4311,5;;4876,31
9477;Доцент;1,5;9830,0;4915,0;;24093,32
302562;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
2299;Доцент;0,25;2457,5;;;3592,87
303101;Преподаватель;1,0;7637,0;;;8637,45
2454;Доцент;1,0;9830,0;;;15132,3
3672;Доцент;1,5;9830,0;4915,0;3861,94;26146,53
302359;Ассистент;0,25;;2004,75;;1918,55
302274;Доцент;0,5;4009,5;;6138,45;9589,29
70111;Старший преподаватель;0,5;4311,5;;;4820,26
300106;Преподаватель;1,25;8019,0;2004,75;;10344,5
302709;Ассистент;1,5;3301,94;1650,97;;10188,59
104690;Доцент;0,5;;4311,5;;4688,76
1428;Профессор;1,0;9830,0;4915,0;;22825,26
168132;Доцент;1,35;6938,82;2428,59;;17565,06
2061;Преподаватель;0,4;3207,6;;;3586,1
546;Преподаватель;0,75;6014,25;;;6723,93
302691;Ассистент;0,5;4009,5;;;3837,09
4245;Доцент;0,7;6036,1;;;7527,02
302724;Старший преподаватель;1,45;8623,0;3880,35;;11828,17
4968;Профессор;0,1;;1046,1;;1601,37
4968;Профессор;0,4;;4184,4;;6405,48
1635;Доцент;1,5;8623,0;4311,5;2439,12;20451,7
301765;Доцент;1,5;9830,0;4915,0;10671,15;32002,45
302775;Доцент;1,45;9830,0;4423,5;;20838,63
303537;Доцент;0,1;;983,0;;1352,61
303537;Доцент;0,6;4423,5;1474,5;;8115,66
2838;Доцент;0,15;1474,5;;;2155,72
1760;Профессор;1,5;10461,0;5230,5;9155,31;33243,6
104716;Доцент;1,5;8623,0;4311,5;4878,24;19212,24
70032;Ассистент;0,1;3969,0;801,9;;5809,65
103173;Доцент;1,5;4625,88;2312,94;9756,48;26796,05
302676;Преподаватель;1,05;8019,0;400,95;;7965,28
302474;Доцент;1,0;6086,82;3043,41;4878,24;17945,69
302711;Старший преподаватель;1,5;6086,82;3043,41;6490,0;17502,69
302478;Старший преподаватель;1,5;6086,82;3043,41;;11903,58
302714;Старший преподаватель;0,5;;4311,5;;4876,31
9530;Старший преподаватель;1,3;8623,0;2586,9;;10604,56
1595;Доцент;1,0;9830,0;4915,0;6240,08;26923,65
1210;Старший преподаватель;0,95;8191,85;;;9158,5
168196;Преподаватель;0,5;4009,5;;;4137,81
302198;Старший преподаватель;1,2;8623,0;1724,6;;13764,94
2290;Доцент;1,3;9830,0;2949,0;;19528,28
302367;Профессор;0,3;;2405,7;;2616,2
105521;Доцент;1,2;9830,0;1966,0;;16231,29
4232;Доцент;0,5;;4047,65;;6629,32
104588;Доцент;1,5;8623,0;4311,5;4878,24;19212,24
302740;Доцент;1,5;8623,0;4311,5;5645,8;20984,71
303232;Старший преподаватель;0,35;;3018,05;;2625,7
163805;Доцент;1,5;6360,59;3180,29;4878,24;22855,75
303559;Старший преподаватель;0,15;;1293,45;;1125,3
302749;Доцент;0,5;4311,5;;5284,76;9921,34
1800;Доцент;1,4;9830,0;3932,0;;20120,05
103197;Доцент;0,15;;1474,5;;2028,92
103197;Доцент;1,0;9830,0;491,5;5386,39;18834,69
74635;Доцент;0,55;4742,65;;;5098,36
1690;Доцент;0,25;2004,75;;;2499,92
1670;Доцент;1,25;9830,0;2457,5;;17964,33
8593;Ассистент;0,1;5392,0;801,9;;8641,71
173123;Доцент;0,25;;2155,75;;2317,43
173123;Доцент;0,25;;2155,75;;2317,44
2586;Старший преподаватель;1,5;8623,0;4311,5;;15943,93
163708;Доцент;1,5;9830,0;4915,0;;19021,04
74485;Старший преподаватель;1,0;8623,0;;;9963,36
303353;Ассистент;0,35;2806,65;;;2413,72
303026;Доцент;1,5;8623,0;4311,5;5284,76;19561,86
72974;Старший преподаватель;0,5;3969,0;4311,5;;9198,69
300409;Старший преподаватель;1,5;8623,0;4311,5;2514,87;14398,82
103599;Доцент;1,5;9830,0;4915,0;6646,6;26005,19
303267;Старший преподаватель;0,1;;862,3;;750,2
303267;Старший преподаватель;0,25;;2155,75;;1875,5
1947;Преподаватель;0,95;7618,05;;;8516,99
301746;Доцент;0,15;;1293,45;;1390,46
301746;Доцент;1,35;8623,0;3018,05;11809,41;22670,23
1287;Доцент;0,4;;3932,0;;5748,59
1287;Доцент;0,5;4915,0;;;7185,72
10232;Профессор;1,5;9830,0;4915,0;;20525,04
177291;Доцент;1,15;9830,0;1474,5;;16527,18
2222;Доцент;1,5;9830,0;4915,0;;21557,18
2146;Доцент;1,4;9830,0;3932,0;3252,16;22916,9
72873;Доцент;1,5;9830,0;4915,0;;21557,18
72925;Старший преподаватель;0,25;;2155,75;;2063,06
2351;Старший преподаватель;1,2;8623,0;1724,6;;12310,2
302950;Доцент;1,2;8019,0;1603,8;;10344,5
2099;Доцент;0,1;;862,3;;1075,3
2099;Доцент;0,15;;1293,45;;1612,93
2099;Доцент;0,55;4742,65;;;5914,09
8417;Старший преподаватель;1,5;8623,0;4311,5;6165,5;19763,1
170853;Старший преподаватель;1,0;8623,0;;;8898,93
301779;Старший преподаватель;1,15;8623,0;3104,28;;12290,27
302765;Ассистент;1,5;8019,0;4009,5;;10344,5
1612;Профессор;1,5;10461,0;5230,5;15037,24;38302,05
302328;Ассистент;0,6;4811,4;;3048,9;7257,05
179558;Ассистент;0,5;;4009,5;;3448,18
303488;Ассистент;1,0;8019,0;;;6896,34
585;Доцент;1,0;9830,0;;;14371,46
166520;Старший преподаватель;0,5;;4311,5;;4688,76
302493;Ассистент;0,3;;2405,7;;2068,9
70266;Доцент;1,5;9830,0;4915,0;;20289,12
302543;Преподаватель;1,1;8019,0;801,9;;7484,57
103199;Старший преподаватель;1,2;8623,0;1724,6;;10678,72
9120;Профессор;1,5;9830,0;4915,0;;21557,18
302656;Ассистент;0,5;4009,5;;5516,5;8192,36
1564;Доцент;1,25;8623,0;2155,75;;13441,11
302826;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
2018;Преподаватель;0,1;801,9;;;896,53
301760;Старший преподаватель;1,35;8623,0;3018,05;;11012,44
302928;Ассистент;0,45;3608,55;;;3139,44
302929;Ассистент;1,0;8019,0;4311,5;2596,0;13897,21
303387;Ассистент;0,3;3724,0;2405,7;;6872,86
302971;Старший преподаватель;0,55;4410,45;3880,35;6185,2;15657,91
302035;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
477;Профессор;1,0;10461,0;;;16913,34
160199;Доцент;0,3;;2949,0;;4105,01
160199;Доцент;1,2;9830,0;1966,0;4471,72;20310,43
1711;Профессор;0,6;6276,6;;;10148,01
2836;Доцент;1,5;9830,0;4915,0;8130,4;28549,33
166941;Доцент;1,5;8623,0;4311,5;4065,2;18513,03
1553;Профессор;1,0;9830,0;;;14371,46
1616;Доцент;1,0;9830,0;;;14538,57
301822;Ассистент;0,4;3969,0;3929,31;;8499,21
2001;Старший преподаватель;1,3;8623,0;2586,9;;12532,67
141369;Доцент;1,0;9830,0;4915,0;;20289,14
104618;Старший преподаватель;1,05;8623,0;431,15;;9343,88
303222;Ассистент;1,4;8019,0;3207,6;;11585,85
303208;Доцент;1,45;9830,0;4423,5;;19612,82
300191;Доцент;0,5;;4915,0;;5986,47
303085;Старший преподаватель;1,0;8623,0;;;8157,36
2413;Профессор;0,1;;693,88;;1418,17
2413;Профессор;1,4;6938,82;2775,53;;20382,2
303456;Ассистент;1,5;8019,0;4009,5;5841,0;15367,76
165646;Старший преподаватель;1,35;8623,0;3018,05;;11012,44
303442;Ассистент;0,5;4009,5;;6814,5;9308,64
70857;Преподаватель;0,3;1698,14;;;2758,36
1185;Профессор;1,0;9830,0;4915,0;7704,04;28182,66
2273;Доцент;0,5;4915,0;;;7185,72
155716;Доцент;1,0;8019,0;;;9310,05
303467;Преподаватель;0,5;;4009,5;;3837,09
303443;Ассистент;1,5;8019,0;4009,5;;10344,5
300050;Преподаватель;1,5;8019,0;4009,5;;12413,41
303513;Старший преподаватель;0,15;;1293,45;;1390,47
303513;Старший преподаватель;0,25;;2155,75;;2317,43
303513;Старший преподаватель;1,0;8623,0;;;9269,73
5141;Доцент;1,3;9830,0;4718,4;;22115,14
9016;Ассистент;0,25;5392,0;2004,75;;9315,89
2366;Старший преподаватель;0,5;4311,5;;;4820,26
2187;Доцент;1,5;9830,0;4915,0;6097,8;26801,3
2020;Преподаватель;1,5;8019,0;4009,5;;13447,86
70766;Доцент;1,0;9830,0;;6097,8;19615,57
106038;Доцент;1,0;9830,0;;;14371,46
302973;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
74326;Доцент;1,0;9830,0;2457,5;;17964,33
159594;Доцент;1,5;9830,0;4915,0;1626,08;21687,55
73631;Преподаватель;0,6;4811,4;;;5379,14
105179;Ассистент;0,5;5392,0;4009,5;;10403,84
104488;Доцент;1,5;9830,0;4915,0;;22825,26
1764;Профессор;0,25;;2615,25;;4049,97
161208;Доцент;1,0;8095,29;;;13362,57
2043;Профессор;1,5;9830,0;4915,0;6083,6;28057,15
302084;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
303567;Доцент;1,0;9362,0;;;11584,98
89572;Доцент;1,5;8019,0;4009,5;4065,2;18495,61
302805;Ассистент;0,25;2004,75;;;1744,13
595;Доцент;1,5;9830,0;4915,0;2432,0;23648,7
70746;Старший преподаватель;1,3;8623,0;2586,9;4867,5;16718,72
70794;Доцент;1,5;9830,0;4915,0;2432,0;23648,7
2194;Старший преподаватель;1,0;5392,0;4311,5;;11961,78
4641;Доцент;1,35;9830,0;3440,5;;19401,48
103087;Доцент;1,0;9830,0;4915,0;;20289,12
1149;Профессор;1,0;11065,0;3138,3;;25113,77
302484;Доцент;1,5;1521,71;760,85;;15160,36
